"source_id","status","families","repository_labels","issuing_authority","official_landing_pages","direct_binary_url","final_resolved_url","printed_title","printed_form_number","revision_effective_date","original_filename","mime_type","page_count","byte_length","sha256","scope","relationship","expected_hash_match"
"CA-SDSC-CRM-307","acquired","ca-diversion-seal-set","SDSC-CRM-307","Superior Court of California, County of San Diego","https://www.sdcourt.ca.gov/sdcourt/criminal2/criminalforms","https://www.sdcourt.ca.gov/sites/default/files/sdcourt/generalinformation/forms/criminalforms/crm307.pdf","https://www.sdcourt.ca.gov/sites/default/files/sdcourt/generalinformation/forms/criminalforms/crm307.pdf","SDSC CRM-307 (New 5/19) PETITION FOR SEALING OF ARREST RECORDS Pen. Code §§ 851.90 & 851.92 Optional AFTER SUCCESSFUL COMPLETION OF PEN. CODE § 851.90 DIVERSION OR Page 1 of 2 DEFERRED ENTRY OF JUDGMENT","SDSC CRM-307","New 5/19","crm307.pdf","application/pdf","2","211228","da6852b5762dea47a17e8159a67e07215543a8524be623709f4856aed169b287","San Diego County Superior Court local form","Standalone county-local petition.",""
"CO-JDF-686-RECONCILIATION","acquired","co_municipal_conviction_seal-set","JDF-686","Colorado Judicial Branch","https://www.coloradojudicial.gov/self-help-and-forms/self-help-forms/order-seal-municipal-conviction-records","https://www.coloradojudicial.gov/sites/default/files/2023-07/JDF686.pdf","https://www.coloradojudicial.gov/sites/default/files/2023-07/JDF686.pdf","Order to Seal Municipal Conviction Records","JDF 686","R: February 8, 2023","JDF686.pdf","application/pdf","2","63657","abf997d8e701df0c74b1eb7833b35f30c006b50bf71b019abf7754d898433200","Colorado statewide Judicial Branch form","Granting/sealing-order component used to resolve the JDF 684 identity question.",""
"TX-OCA-411.0736-MODEL-PETITION","acquired","tx_nd_dwi_conviction-set","OCA Model Petition for an Order of Nondisclosure under § 411.0736","Texas Office of Court Administration / Texas Judicial Branch","https://www.txcourts.gov/forms/orders-of-nondisclosure/","https://www.txcourts.gov/media/1454269/2nd-final-petition-for-nondisclosure-under-section-411-0736.pdf","https://www.txcourts.gov/media/1454269/2nd-final-petition-for-nondisclosure-under-section-411-0736.pdf","2. Petitioner Satisfies the Requirements of Government Code Section 411.0736 Petitioner satisfies the requirements of Section 411.0736, Gov’t Code, in that: OCA MODEL PETITION FOR AN ORDER OF NONDISCLOSURE REVISED FEBRUARY 2022","","","2nd-final-petition-for-nondisclosure-under-section-411-0736.pdf","application/pdf","5","199202","e8e7dee3c0843a65921ace2545c79034841961d9a131ac31e3d8cf18fd6701db","Texas statewide OCA model form","Standalone model petition.",""
"TX-OCA-411.0736-MODEL-ORDER","acquired","tx_nd_dwi_conviction-set","OCA Model Order of Nondisclosure under § 411.0736","Texas Office of Court Administration / Texas Judicial Branch","https://www.txcourts.gov/forms/orders-of-nondisclosure/","https://www.txcourts.gov/media/1454270/04-26-2022-order-of-nondisclosure-sec-411-0736.pdf","https://www.txcourts.gov/media/1454270/04-26-2022-order-of-nondisclosure-sec-411-0736.pdf","OCA MODEL ORDER FOR ORDER OF NONDISCLOSURE UNDER REVISED FEBRUARY 2022 SECTION 411.0736, GOV’T CODE","","Revised February 2022","04-26-2022-order-of-nondisclosure-sec-411-0736.pdf","application/pdf","3","108945","50e648a3dcaf7db606d23839e2b9ac70b919fe51bab0708a1803e5c37dcd0a5e","Texas statewide OCA model form","Proposed/model order component.",""
