"family_id","source_id","repository_source_labels","status","sha256","stored_path"
"ca-diversion-seal-set","CA-SDSC-CRM-307","SDSC-CRM-307","acquired","da6852b5762dea47a17e8159a67e07215543a8524be623709f4856aed169b287","sources/CA-SDSC-CRM-307/crm307.pdf"
"co_municipal_conviction_seal-set","CO-JDF-686-RECONCILIATION","JDF-686","acquired","abf997d8e701df0c74b1eb7833b35f30c006b50bf71b019abf7754d898433200","sources/CO-JDF-686-RECONCILIATION/JDF686.pdf"
"tx_nd_dwi_conviction-set","TX-OCA-411.0736-MODEL-PETITION","OCA Model Petition for an Order of Nondisclosure under § 411.0736","acquired","e8e7dee3c0843a65921ace2545c79034841961d9a131ac31e3d8cf18fd6701db","sources/TX-OCA-411.0736-MODEL-PETITION/2nd-final-petition-for-nondisclosure-under-section-411-0736.pdf"
"tx_nd_dwi_conviction-set","TX-OCA-411.0736-MODEL-ORDER","OCA Model Order of Nondisclosure under § 411.0736","acquired","50e648a3dcaf7db606d23839e2b9ac70b919fe51bab0708a1803e5c37dcd0a5e","sources/TX-OCA-411.0736-MODEL-ORDER/04-26-2022-order-of-nondisclosure-sec-411-0736.pdf"
